,Unnamed: 0,time
0,0,45014.64731
1,1,45014.64669
2,2,45014.64514
3,3,45014.64444
4,4,45014.64375
5,5,45014.64306
6,6,45014.64236
7,7,45014.64167
8,8,45014.64097
9,9,45014.64028
10,10,45014.63958
11,11,45014.63889
12,12,45014.63819
13,13,45014.6375
14,14,45014.63681
15,15,45014.63611
16,16,45014.63542
17,17,45014.63472
18,18,45014.63403
19,19,45014.63333
20,20,45014.63264
21,21,45014.63194
22,22,45014.63125
23,23,45014.63056
24,24,45014.62986
25,25,45014.62917
26,26,45014.62847
27,27,45014.62778
28,28,45014.62708
29,29,45014.62639
30,30,45014.62569
31,31,45014.625
32,32,45014.62431
33,33,45014.62361
34,34,45014.62292
35,35,45014.62222
36,36,45014.62153
37,37,45014.62083
38,38,45014.62014
39,39,45014.61944
40,40,45014.61875
41,41,45014.61806
42,42,45014.61736
43,43,45014.61667
44,44,45014.61597
45,45,45014.61528
46,46,45014.61458
47,47,45014.61389
48,48,45014.61319
49,49,45014.6125
50,50,45014.61181
51,51,45014.61111
52,52,45014.61042
53,53,45014.60972
54,54,45014.60903
55,55,45014.60833
56,56,45014.60764
57,57,45014.60694
58,58,45014.60625
59,59,45014.60556
60,60,45014.60486
61,61,45014.60417
62,62,45014.60347
63,63,45014.60278
64,64,45014.60208
65,65,45014.60139
66,66,45014.60069
67,67,45014.6
68,68,45014.59931
69,69,45014.59861
70,70,45014.59792
71,71,45014.59722
72,72,45014.59653
73,73,45014.59583
74,74,45014.59514
75,75,45014.59444
76,76,45014.59375
77,77,45014.59306
78,78,45014.59236
79,79,45014.59167
80,80,45014.59097
81,81,45014.59028
82,82,45014.58958
83,83,45014.58889
84,84,45014.58819
85,85,45014.5875
86,86,45014.58681
87,87,45014.58611
88,88,45014.58542
89,89,45014.58472
90,90,45014.58403
91,91,45014.58333
92,92,45014.58264
93,93,45014.58194
94,94,45014.58125
95,95,45014.58056
96,96,45014.57986
97,97,45014.57917
98,98,45014.57847
99,99,45014.57778
100,100,45014.57708
101,101,45014.57639
102,102,45014.57569
103,103,45014.575
104,104,45014.57431
105,105,45014.57361
106,106,45014.57292
107,107,45014.57222
108,108,45014.57153
109,109,45014.57083
110,110,45014.57014
111,111,45014.56944
112,112,45014.56875
113,113,45014.56806
114,114,45014.56736
115,115,45014.56667
116,116,45014.56597
117,117,45014.56528
118,118,45014.56458
119,119,45014.56389
120,120,45014.56319
121,121,45014.5625
122,122,45014.56181
123,123,45014.56111
124,124,45014.56042
125,125,45014.55972
126,126,45014.55903
127,127,45014.55833
128,128,45014.55764
129,129,45014.55694
130,130,45014.55625
131,131,45014.55556
132,132,45014.55486
133,133,45014.55417
134,134,45014.55347
135,135,45014.55278
136,136,45014.55208
137,137,45014.55139
138,138,45014.55069
139,139,45014.55
140,140,45014.54931
141,141,45014.54861
